Time,Memory (VM view),Memory (Host view),CT,BW (Download),BW (Upload)
1707399609.490219,1856160,17316990976,149.217,39938369,1526802
1707399682.523565,1862832,17317748736,139.237,15508862,579678
1707399756.092707,1861924,17323577344,141.907,39726759,1526401
1707399830.075485,1838564,17325588480,144.0,30872894,1327350
1707399906.0402377,1850080,17335054336,153.827,32619220,1370194
1707399982.7268612,1857572,17329238016,157.639,30216998,866898
1707400056.1643977,1862852,17333432320,141.185,15010854,549409
1707400130.8830013,1864360,17334235136,147.697,34760816,1466429
1707400208.976709,1862588,17343586304,164.593,48186663,1725510
1707400282.875205,1862612,17363066880,143.61,21615213,688712
1707400357.4960902,1842968,17363386368,147.096,25272105,1289662
1707400432.0806952,1848644,17374347264,147.039,24527556,1351374
1707400503.7262864,1861328,17384632320,132.388,13747458,521022
