Time,Memory Limit,Memory (VM view),Memory (Host view),Swap used (Host view),CT,BW (Download),BW (Upload)
1707906807.9406898,999997440,1906068,222474240,2043580416,166.923,59705814,2470964
1707906836.7780879,999997440,1903788,223371264,2043318272,143.584,55156206,2391984
1707906866.2873943,999997440,1903376,223162368,2043056128,146.829,57650905,2473505
1707906898.8941097,999997440,1903412,223629312,2043056128,162.268,52908261,2352090
1707906932.529138,999997440,1903620,222846976,2043056128,167.455,55540038,2355677
1707906965.9100833,999997440,1902844,222941184,2043056128,166.088,55267003,2401358
1707906995.3694508,999997440,1902356,223264768,2042793984,146.636,51848981,2323310
1707907026.3799908,999997440,1903444,223453184,2042793984,154.421,53531219,2370978
1707907060.1878316,999997440,1903460,223211520,2042269696,168.431,70384017,2703284
1707907093.8836594,999997440,1903668,224018432,2042269696,167.837,67167758,2782805
1707907126.947125,999997440,1903352,223780864,2042269696,164.636,53415152,2324403
1707907155.8091016,999997440,1903432,223965184,2042007552,143.613,54797552,2321388
1707907188.6336339,299999232,1903388,223150080,2042007552,163.395,64052114,2545715
1707907217.078142,299999232,1903144,223502336,2042007552,141.614,50526015,2177615
1707907245.6299026,299999232,1903512,223670272,2041745408,142.21,54365922,2320565
1707907279.7037556,299999232,1903592,224026624,2041745408,169.786,69442840,2748370
1707907314.165977,299999232,1902844,223342592,2041745408,171.411,61149868,2592564
1707907344.2520869,299999232,1903424,223207424,2041745408,149.703,47998555,2167925
1707907373.0608134,299999232,1905916,223940608,2041745408,143.362,53983836,2298426
1707907401.563104,299999232,1903388,223772672,2041483264,141.876,53319144,2373837
1707907431.5280542,299999232,1903468,224026624,2041483264,149.117,57157066,2449582
1707907460.7828188,299999232,1903392,223412224,2041483264,145.556,47324843,2095201
1707907491.111162,299999232,1903176,223600640,2041221120,150.868,49890215,2182872
1707907525.3887582,299999232,1903412,223600640,2040958976,170.647,62000184,2655490
1707907558.7178369,999997440,1903104,224321536,2040958976,165.815,55675146,2336032
