Time,VM VIEW: Current CGroup Limit,VM VIEW: Memory Total,VM VIEW: Memory Available,VM VIEW: Memory Used,HOST VIEW: VM Memory used,HOST VIEW: VM Current Swap,VM2 VIEW: Response Time,VM2 VIEW: Bandwidth Download,VM2 VIEW: Bandwidth Upload
1707923529.717562,1073741824,2059157504,1693282304,365875200,435630080,805793792,131.448,34636383,1481453
1707923552.285275,1073741824,2059157504,1692061696,367095808,459157504,801599488,134.938,31253711,1329231
1707923578.9086406,1073741824,2059157504,1697488896,361668608,467877888,800550912,132.499,28009300,1175142
1707923608.0230706,536870912,2059157504,1700208640,358948864,490192896,800026624,126.751,33380035,1387648
1707923664.5733278,536870912,2059157504,1696919552,362237952,512217088,797933568,300.191,48156364,1908763
1707923695.7101014,205520896,2059157504,1690804224,368353280,205504512,966053888,154.939,31034081,1239096
1707923726.6399393,415236096,2059157504,1695322112,363835392,207998976,970280960,134.628,36731516,1510750
1707923751.7919283,415236096,2059157504,1691009024,368148480,233709568,968445952,144.384,34751818,1483201
1707923777.8827753,268435456,2059157504,1695440896,363716608,254246912,968183808,129.78,22050485,991184
1707923806.3821387,268435456,2059157504,1695830016,363327488,266358784,967921664,141.845,30288761,1254767
1707923837.520292,268435456,2059157504,1693093888,366063616,268414976,966610944,129.006,32889581,1420431
1707923860.2566512,536870912,2059157504,1691832320,367325184,289529856,966610944,138.958,31267993,1272475
1707923889.1723745,536870912,2059157504,1695191040,363966464,306708480,966086656,143.889,29027865,1247899
1707923916.0189722,1073741824,2059157504,1700204544,358952960,320176128,965562368,127.116,26604751,1151045
